Help for Moms and Babies Act|115|Senate|Debbie Stabenow(D) |Read twice and referred to the Committee on Finance.|2018-05-22|https://www.congress.gov/115/bills/s2922/BILLS-115s2922is.pdf
Supporting the goal and ideal of increasing the number of African American women and girls in the engineering profession.|115|House|Alma Adams(D) |Referred to the Subcommittee on Research and Technology.|2018-05-22|https://www.congress.gov/115/bills/hres746/BILLS-115hres746ih.pdf
Improving Oversight of Women Veterans' Care Act of 2018|115|House|J. Correa(D) |Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.|2018-05-22|https://www.congress.gov/115/bills/hr4334/BILLS-115hr4334rfs.pdf
Women and Minorities in STEM Booster Act of 2017|115|House|CAROLYN MALONEY(D) |Referred to the Subcommittee on Research and Technology.|2018-05-22|https://www.congress.gov/115/bills/hr2709/BILLS-115hr2709ih.pdf
Authorizing Critical Conservation and Enabling Sportsmen and Sportswomen Act|115|House|MIKE THOMPSON(D) |Referred to the Subcommittee on Environment.|2018-05-22|https://www.congress.gov/115/bills/hr4489/BILLS-115hr4489ih.pdf
Affirming a commitment to elevate the voices, leadership, and needs of historically and currently disenfranchised and underserved communities in the effort to end sexual violence and support all survivors of sexual violence, including immigrant survivors, survivors with disabilities, survivors of color, survivors of child sexual abuse, and lesbian, gay, bisexual, and transgender survivors.|115|House|Bonnie Watson Coleman(D) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-05-22|https://www.congress.gov/115/bills/hres854/BILLS-115hres854ih.pdf
Protecting the Dignity of Unborn Children Act of 2018|115|House|Robert Latta(R) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-05-22|https://www.congress.gov/115/bills/hr5637/BILLS-115hr5637ih.pdf
Recognizing and supporting the goals and ideals of "National Sexual Assault Awareness and Prevention Month".|115|House|Tom Reed(R) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-05-21|https://www.congress.gov/115/bills/hres829/BILLS-115hres829ih.pdf
National Lyme and Tick-Borne Diseases Control and Accountability Act of 2018|115|House|CHRISTOPHER SMITH(R) |Referred to the House Committee on Energy and Commerce.|2018-05-21|https://www.congress.gov/115/bills/hr5900/BILLS-115hr5900ih.pdf
Stop Sexual Assault and Harassment in Transportation Act|115|House|PETER DEFAZIO(D) |Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials.|2018-05-18|https://www.congress.gov/115/bills/hr5857/BILLS-115hr5857ih.pdf
National Lyme and Tick-Borne Diseases Control and Accountability Act of 2018|115|House|CHRISTOPHER SMITH(R) |Referred to the House Committee on Energy and Commerce.|2018-05-18|https://www.congress.gov/115/bills/hr5878/BILLS-115hr5878ih.pdf
Improve Data on Sexual Violence Act|115|Senate|Claire McCaskill(D) |Referred to the House Committee on the Judiciary.|2018-05-17|https://www.congress.gov/115/bills/s2349/BILLS-115s2349rfh.pdf
Authorizing the use of Emancipation Hall in the Capitol Visitor Center for an event to celebrate the birthday of King Kamehameha I.|115|House|Colleen Hanabusa(D) |Message on Senate action sent to the House.|2018-05-17|https://www.congress.gov/115/bills/hconres112/BILLS-115hconres112enr.pdf
A resolution recognizing the importance of the goal of National Women's Health Week to empower adolescent girls and women of all ages to make informed choices about their sexual activity and effective steps to prevent against HIV.|115|Senate|Cory Booker(D) |Referred to the Committee on Health, Education, Labor, and Pensions. (text of measure as introduced: CR S2681)|2018-05-15|https://www.congress.gov/115/bills/sres507/BILLS-115sres507is.pdf
